Batch_No,EC50_nM,Set,Molecular_Weight,ALogP,ID,ROMol,hERG_Prediction,hERG_Probability,Risk_Level
STK833729,941,Drug-like,268.3535,4.088,MMV075490,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505A10>,1,0.87075,HIGH
OSSK_617785,1240,Drug-like,363.87834,4.147,MMV396633,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505930>,1,0.81,HIGH
C301-0933,4000,Drug-like,267.32898,3.51,MMV007374,<rdkit.Chem.rdchem.Mol object at 0x00000240F95058C0>,1,0.8383333333333333,HIGH
6893-0070,1150,Drug-like,341.40575,4.809,MMV396719,<rdkit.Chem.rdchem.Mol object at 0x00000240F95057E0>,1,0.75,MEDIUM
STK713905,832,Drug-like,405.46796,4.309,MMV396744,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505700>,1,0.645,MEDIUM
STK543375,683,Drug-like,359.46739,4.761,MMV006706,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505690>,1,0.795,MEDIUM
STK750794,641,Drug-like,415.57209,4.474,MMV009108,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505620>,1,0.61,MEDIUM
STK066507,871,Drug-like,349.51401,4.464,MMV020700,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505540>,0,0.395,LOW
STK492168,ND,Drug-like,274.31502,3.065,MMV007906,<rdkit.Chem.rdchem.Mol object at 0x00000240F95054D0>,1,0.64875,MEDIUM
STK591252,ND,Drug-like,265.3098,3.867,MMV008270,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505460>,1,0.64,MEDIUM
STK171429,625,Drug-like,403.35587,4.453,MMV019127,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505380>,1,0.865,HIGH
OSSK_686934,1160,Drug-like,348.30777,4.603,MMV396794,<rdkit.Chem.rdchem.Mol object at 0x00000240F95052A0>,1,0.7433333333333333,MEDIUM
STK927681,1060,Drug-like,393.30688,4.308,MMV396736,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505230>,1,0.6808333333333334,MEDIUM
D052-0149,693,Drug-like,341.32139,1.435,MMV306025,<rdkit.Chem.rdchem.Mol object at 0x00000240F95051C0>,1,0.58375,MEDIUM
STK024511,4000,Drug-like,279.39774,3.005,MMV056726,<rdkit.Chem.rdchem.Mol object at 0x00000240F95050E0>,1,0.61,MEDIUM
STL040711,686,Drug-like,280.32113,3.59,MMV274073,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505070>,1,0.75,MEDIUM
STK053610,693,Drug-like,278.30526,3.271,MMV018984,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504F90>,1,0.595,MEDIUM
STK902918,ND,Drug-like,278.70928,3.879,MMV000911,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504EB0>,1,0.5825,MEDIUM
STK178269,939,Drug-like,427.31275,2.14,MMV007430,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504E40>,1,0.6775,MEDIUM
STK860217,995,Drug-like,283.7091,4.273,MMV007977,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504D60>,1,0.7016666666666665,MEDIUM
STK227898,640.5,Drug-like,368.65279,4.324,MMV020654,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504CF0>,1,0.675,MEDIUM
OSSK_706042,745,Drug-like,422.43542,4.235,MMV665883,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504C80>,1,0.68,MEDIUM
STK721773,1040,Drug-like,287.31377,1.74,MMV084940,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504C10>,1,0.695,MEDIUM
6893-0066,1730,Drug-like,311.37978,4.826,MMV396715,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504BA0>,1,0.745,MEDIUM
STK154807,589,Drug-like,356.42039,4.264,MMV000963,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504B30>,1,0.82,HIGH
STK839477,662,Drug-like,308.35278,3.432,MMV006319,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504AC0>,1,0.755,MEDIUM
STK084300,ND,Drug-like,282.16349,2.625,MMV000972,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504A50>,1,0.65,MEDIUM
STK446111,1010,Drug-like,456.9666,4.379,MMV020490,<rdkit.Chem.rdchem.Mol object at 0x00000240F95049E0>,1,0.8133333333333332,HIGH
STK947950,ND,Drug-like,325.5883,3.935,MMV001318,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504970>,1,0.58,MEDIUM
STK766133,ND,Drug-like,319.41853,3.561,MMV007978,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504890>,1,0.84,HIGH
STK571742,ND,Drug-like,359.76376,3.536,MMV020660,<rdkit.Chem.rdchem.Mol object at 0x00000240F95047B0>,1,0.605,MEDIUM
OSSK_893617,ND,Drug-like,218.25176,0.904,MMV665904,<rdkit.Chem.rdchem.Mol object at 0x00000240F95046D0>,1,0.785,MEDIUM
OSSK_617781,1050,Drug-like,335.82518,3.42,MMV396632,<rdkit.Chem.rdchem.Mol object at 0x00000240F95045F0>,1,0.85,HIGH
0845-0947,2000,Drug-like,298.7668,4.497,MMV007875,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504510>,1,0.705,MEDIUM
STK711594,4000,Drug-like,245.31686,3.895,MMV006820,<rdkit.Chem.rdchem.Mol object at 0x00000240F95044A0>,1,0.76875,MEDIUM
STL071339,928,Drug-like,368.38803,3.868,MMV396749,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504430>,1,0.765,MEDIUM
STK229733,1175,Drug-like,445.51028,2.845,MMV011576,<rdkit.Chem.rdchem.Mol object at 0x00000240F95043C0>,1,0.785,MEDIUM
STK105153,1945,Drug-like,431.31179,4.909,MMV020651,<rdkit.Chem.rdchem.Mol object at 0x00000240F95042E0>,1,0.795,MEDIUM
STK678441,683,Drug-like,341.44397,4.449,MMV000483,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504270>,1,0.545,MEDIUM
STK845176,614.5,Drug-like,312.41258,4.458,MMV019266,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504190>,1,0.66,MEDIUM
STK289731,1260,Drug-like,269.38132,3.634,MMV001049,<rdkit.Chem.rdchem.Mol object at 0x00000240F95040B0>,1,0.765,MEDIUM
OSSK_924330,769,Drug-like,314.46499,4.23,MMV665806,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504040>,1,0.83,HIGH
5300-0085,ND,Drug-like,260.3381,1.121,MMV667487,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505000>,1,0.5458333333333333,MEDIUM
4964-3583,1030,Drug-like,379.2666,4.156,MMV000356,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504DD0>,1,0.88,HIGH
STK527893,1390,Drug-like,392.4079,3.569,MMV396705,<rdkit.Chem.rdchem.Mol object at 0x00000240F95074C0>,1,0.805,HIGH
STK534381,4000,Drug-like,291.39014,3.91,MMV006704,<rdkit.Chem.rdchem.Mol object at 0x00000240F95073E0>,1,0.905,HIGH
STK684882,ND,Drug-like,416.28676,4.431,MMV000760,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507220>,1,0.7725,MEDIUM
STK026426,ND,Drug-like,378.48574,3.784,MMV007881,<rdkit.Chem.rdchem.Mol object at 0x00000240F95070D0>,1,0.74,MEDIUM
STK545948,969,Drug-like,280.32113,3.59,MMV008212,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506F80>,1,0.665,MEDIUM
STK171905,944,Drug-like,232.70872,3.303,MMV007363,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506CE0>,1,0.7358333333333333,MEDIUM
STK478956,ND,Drug-like,357.40362,1.565,MMV007791,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506AB0>,1,0.765,MEDIUM
OSSL_050310,ND,Drug-like,199.24842,3.294,MMV665843,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506960>,1,0.515,MEDIUM
ADM 13808975,1010,Drug-like,380.48331,4.435,MMV396595,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506650>,1,0.695,MEDIUM
G869-0502,1070,Drug-like,401.50407,3.585,MMV396669,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506500>,1,0.7783333333333334,MEDIUM
STK547952,1190,Drug-like,301.77403,2.676,MMV396704,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506420>,1,0.7833333333333333,MEDIUM
STK391652,ND,Drug-like,343.37858,4.038,MMV019762,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506340>,1,0.715,MEDIUM
STK289812,875.5,Drug-like,310.7942,3.43,MMV020505,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506260>,1,0.838,HIGH
STK386015,ND,Drug-like,307.36808,2.018,MMV020942,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506180>,1,0.7,MEDIUM
STK926895,1080,Drug-like,330.42288,4.204,MMV000839,<rdkit.Chem.rdchem.Mol object at 0x00000240F9506030>,1,0.835,HIGH
STK498500,ND,Drug-like,328.1601,4.357,MMV666599,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505F50>,1,0.66,MEDIUM
STK766822,1330,Drug-like,391.88843,4.474,MMV000481,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505E70>,1,0.65,MEDIUM
OSSL_148109,ND,Drug-like,189.21383,1.428,MMV665897,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505D20>,0,0.485,LOW
F2573-0346,ND,Probe-like,453.57379,4.086,MMV665908,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505C40>,1,0.725,MEDIUM
4N-075,1060,Probe-like,286.7528,4.259,MMV665924,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505B60>,1,0.62,MEDIUM
5430595,1080,Probe-like,312.40605,3.186,MMV665944,<rdkit.Chem.rdchem.Mol object at 0x00000240F95059A0>,1,0.925,HIGH
6419218,513,Probe-like,487.76237,6.154,MMV666054,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505850>,1,0.72,MEDIUM
C768-1312,ND,Probe-like,405.48947,3.856,MMV008474,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505770>,1,0.68,MEDIUM
6738-0028,1135,Probe-like,381.51114,5.008,MMV000445,<rdkit.Chem.rdchem.Mol object at 0x00000240F95055B0>,1,0.8875,HIGH
5695-1023,1190,Probe-like,335.82847,2.894,MMV006882,<rdkit.Chem.rdchem.Mol object at 0x00000240F95053F0>,1,0.7883333333333333,MEDIUM
4477-0055,567,Probe-like,420.32166,5.787,MMV007127,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505310>,1,0.605,MEDIUM
F0541-1280A,ND,Probe-like,411.94758,5.547,MMV666123,<rdkit.Chem.rdchem.Mol object at 0x00000240F9505150>,1,0.715,MEDIUM
STK028803,414.5,Probe-like,359.41606,5.251,MMV006389,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504F20>,1,0.575,MEDIUM
5180041,ND,Probe-like,281.134,4.117,MMV665949,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504900>,0,0.45333333333333337,LOW
11K-006,1070,Probe-like,337.17016,4.428,MMV665934,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504820>,1,0.58,MEDIUM
5795856,835.5,Probe-like,268.13854,3.805,MMV665994,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504740>,1,0.6766666666666665,MEDIUM
5102296,ND,Probe-like,332.50342,5.184,MMV665980,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504660>,1,0.75,MEDIUM
D336-4049,1120,Probe-like,420.5471,5.9,MMV007577,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504580>,1,0.73,MEDIUM
G669-1279,563,Probe-like,462.42307,3.18,MMV019995,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504350>,1,0.7938333333333333,MEDIUM
C047-1135,912,Probe-like,554.50401,6.767,MMV007208,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504200>,1,0.655,MEDIUM
6718-0079,362,Probe-like,315.83708,5.336,MMV000442,<rdkit.Chem.rdchem.Mol object at 0x00000240F9504120>,1,0.8958333333333335,HIGH
F0698-0401A,ND,Probe-like,403.90566,3.902,MMV666124,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAEA0>,1,0.595,MEDIUM
STL042298,ND,Probe-like,367.48456,4.551,MMV000444,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAB90>,1,0.8875,HIGH
52537683-1,ND,Probe-like,383.48065,4.226,MMV666109,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB140>,1,0.845,HIGH
4K-357S,ND,Probe-like,460.54476,6.065,MMV665936,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB1B0>,1,0.51,MEDIUM
5531252,ND,Probe-like,265.39108,3.404,MMV666020,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBED0>,1,0.655,MEDIUM
5832039,489,Probe-like,484.95193,4.858,MMV665971,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBDF0>,1,0.55375,MEDIUM
G856-7068,nan,Probe-like,414.4796,4.227,MMV001241,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBD10>,1,0.76,MEDIUM
4896-3773,1015,Probe-like,447.5277,6.22,MMV000720,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBC30>,1,0.755,MEDIUM
D168-0059,1380,Probe-like,422.38786,5.593,MMV000619,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBA70>,1,0.76,MEDIUM
4808-0480,ND,Probe-like,318.32276,4.831,MMV006753,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB990>,1,0.535,MEDIUM
STK726870,473,Probe-like,310.4332,4.201,MMV006787,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBB50>,1,0.865,HIGH
AG-670/12464049,313,Probe-like,448.36377,6.082,MMV665794,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB8B0>,1,0.74,MEDIUM
2516-2633,1240,Probe-like,398.45378,4.567,MMV000917,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB7D0>,1,0.665,MEDIUM
12E-934,381,Probe-like,335.31021,3.497,MMV666125,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB6F0>,1,0.645,MEDIUM
5345420,534,Probe-like,314.41864,6.11,MMV665987,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB610>,1,0.58,MEDIUM
0573-2138,826,Probe-like,413.57438,6.216,MMV007574,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB530>,1,0.66,MEDIUM
4491-0981,1170,Probe-like,316.3203,5.277,MMV000326,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB450>,1,0.705,MEDIUM
D144-0115,735,Probe-like,417.429,5.009,MMV000604,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB370>,1,0.8136666666666668,HIGH
K834-1901,632,Probe-like,586.7377,5.906,MMV007557,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB290>,1,0.67,MEDIUM
3209-1341,454,Probe-like,559.62458,6.424,MMV000699,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAC70>,1,0.75,MEDIUM
STK533160,1132,Probe-like,406.49737,4.869,MMV009127,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAA40>,1,0.725,MEDIUM
AI-204/31681056,846,Probe-like,396.90979,4.271,MMV665786,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DB060>,1,0.8579166666666665,HIGH
5174-4531,314,Probe-like,348.39509,3.996,MMV006250,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAD50>,1,0.62875,MEDIUM
ASN 02538344,1310,Probe-like,287.35837,4.447,MMV666079,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAB20>,0,0.34,LOW
6403066,393,Probe-like,432.89884,5.312,MMV665969,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DBF40>,1,0.53,MEDIUM
4300-0950,1060,Probe-like,314.38042,5.235,MMV000304,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DAE30>,1,0.83875,HIGH
6718-0097,439,Probe-like,303.78332,4.268,MMV000443,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0DA960>,1,0.8875,HIGH
3270-1087,1510,Probe-like,500.56555,5.102,MMV666604,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFE570>,1,0.59875,MEDIUM
C066-0502,1180,Probe-like,484.58607,5.23,MMV008455,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFFED0>,1,0.775,MEDIUM
8012-3324,477.5,Probe-like,434.48266,5.535,MMV007199,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFEEA0>,1,0.73,MEDIUM
STK890553,1705,Probe-like,465.60917,7.814,MMV085471,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFEF10>,1,0.70625,MEDIUM
AG-205/10703018,584,Probe-like,364.43755,5.016,MMV665797,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFF0D0>,1,0.71375,MEDIUM
6120-0025,304,Probe-like,337.41706,5.36,MMV006513,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFF220>,1,0.795,MEDIUM
BAS 00333897,1190,Probe-like,280.16035,4.203,MMV666095,<rdkit.Chem.rdchem.Mol object at 0x0000023FF9FFF1B0>,1,0.5820833333333334,MEDIUM
7609381,1420,Probe-like,430.50378,5.192,MMV665943,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA084040>,1,0.67,MEDIUM
6262-0146,376,Probe-like,478.67091,8.063,MMV019555,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0843C0>,1,0.605,MEDIUM
C776-3796,1330,Probe-like,458.61829,5.194,MMV019741,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA0840B0>,1,0.83,HIGH
8207-0953,934.5,Probe-like,470.58104,5.424,MMV019690,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA084350>,1,0.895,HIGH
D173-0049,ND,Probe-like,399.54136,5.382,MMV000621,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110120>,1,0.84,HIGH
K261-1306,1430,Probe-like,480.57591,5.207,MMV008173,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110040>,1,0.7,MEDIUM
STK223379,450,Probe-like,442.30734,5.712,MMV019241,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110270>,1,0.67375,MEDIUM
AG-690/36535025,ND,Probe-like,307.43259,3.632,MMV665783,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1102E0>,1,0.9,HIGH
D014-0043,407,Probe-like,425.95102,4.818,MMV000787,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110350>,1,0.8,HIGH
ASN 04884623,1070,Probe-like,436.56642,5.134,MMV666106,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1103C0>,1,0.77,MEDIUM
6412712,830,Probe-like,453.31731,5.49,MMV666022,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110430>,1,0.78,MEDIUM
D284-0201,ND,Probe-like,245.2738,2.92,MMV498479,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1104A0>,1,0.58375,MEDIUM
D336-4053,697,Probe-like,426.57482,5.853,MMV007396,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110510>,1,0.705,MEDIUM
D163-0036,ND,Probe-like,431.99535,5.164,MMV000617,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110580>,1,0.6916666666666668,MEDIUM
K837-1178,511.5,Probe-like,440.28507,2.444,MMV006764,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1105F0>,1,0.5304166666666668,MEDIUM
3825-7149,539,Probe-like,354.80524,5.52,MMV007275,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110660>,1,0.675,MEDIUM
STK761550,350,Probe-like,480.57746,7.242,MMV007273,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1106D0>,1,0.675,MEDIUM
5215437,ND,Probe-like,288.30008,3.663,MMV666026,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110740>,1,0.675,MEDIUM
1L-305S,ND,Probe-like,290.24326,4.405,MMV665923,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1107B0>,1,0.72,MEDIUM
5657779,1260,Probe-like,500.1859,5.974,MMV666025,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110820>,1,0.695,MEDIUM
80452216,ND,Probe-like,393.39948,4.598,MMV666060,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110890>,1,0.84,HIGH
2103-2628,551,Probe-like,451.55946,8.149,MMV666597,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110900>,1,0.69875,MEDIUM
3174-0923,1061,Probe-like,470.15996,5.695,MMV007224,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110970>,1,0.655,MEDIUM
K630-0106,ND,Probe-like,420.50236,6.891,MMV020912,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1109E0>,1,0.73,MEDIUM
C614-0124,684,Probe-like,356.4171,5.279,MMV007181,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110A50>,1,0.73,MEDIUM
3355-0142,661.5,Probe-like,358.43452,6.482,MMV007113,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110AC0>,1,0.695,MEDIUM
STK264394,304.5,Probe-like,659.68215,6.563,MMV007228,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110B30>,1,0.605,MEDIUM
5930078,1140,Probe-like,401.8848,5.599,MMV665972,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110BA0>,1,0.69,MEDIUM
STK661820,ND,Probe-like,309.40541,3.438,MMV073843,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110C10>,1,0.6525,MEDIUM
0075-0021,391,Probe-like,293.40602,3.569,MMV006303,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110C80>,1,0.905,HIGH
STK270906,1790,Probe-like,493.55637,3.744,MMV667490,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110CF0>,1,0.725,MEDIUM
STK529340,1190,Probe-like,313.35106,2.392,MMV667492,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110D60>,1,0.69,MEDIUM
STK423236,646,Probe-like,726.94866,4.537,MMV019881,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110DD0>,1,0.93,HIGH
STK677757,746,Probe-like,347.83587,4.141,MMV000478,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110E40>,1,0.8416666666666667,HIGH
STK572179,ND,Probe-like,495.99933,7.063,MMV020403,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110EB0>,1,0.7,MEDIUM
STK036105,716,Probe-like,256.38585,4.929,MMV007764,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110F20>,1,0.81375,HIGH
OSSK_431618,1005,Probe-like,292.50253,3.872,MMV665830,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA110F90>,0,0.49,LOW
OSSK_979724,1030,Probe-like,385.86393,4.956,MMV665886,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111000>,1,0.59,MEDIUM
F0016-1152,615,Probe-like,489.51647,5.638,MMV396664,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111070>,1,0.66375,MEDIUM
G856-7029,nan,Probe-like,400.45,3.741,MMV001239,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1110E0>,1,0.835,HIGH
STK586450,1230,Probe-like,440.53681,4.158,MMV667491,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111150>,1,0.75,MEDIUM
STK843428,776,Probe-like,326.39442,4.281,MMV006169,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1111C0>,1,0.765,MEDIUM
STK617620,906,Probe-like,332.34934,5.317,MMV086103,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111230>,0,0.34,LOW
STK836693,591,Probe-like,358.3867,3.952,MMV084434,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1112A0>,1,0.688,MEDIUM
STK543664,387,Probe-like,431.5466,7.18,MMV666692,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111310>,1,0.65,MEDIUM
OSSK_000157,551,Probe-like,310.37026,3.763,MMV665836,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111380>,1,0.705,MEDIUM
OSSK_492696,1060,Probe-like,479.5298,2.725,MMV665881,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1113F0>,1,0.78,MEDIUM
OSSL_100182,545,Probe-like,395.88528,2.95,MMV665875,<rdkit.Chem.rdchem.Mol object at 0x00000240F9507ED0>,1,0.7766666666666666,MEDIUM
4358-4401,4000,Probe-like,321.41611,4.343,MMV007020,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1100B0>,1,0.7475,MEDIUM
K837-0260,518.5,Probe-like,468.33823,3.142,MMV006656,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111460>,1,0.62,MEDIUM
STK707634,1160,Probe-like,484.59092,6.342,MMV396726,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1114D0>,1,0.785,MEDIUM
STK847991,480,Probe-like,357.24438,4.929,MMV006522,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111540>,1,0.72875,MEDIUM
STK043029,814,Probe-like,334.36852,3.313,MMV666686,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1115B0>,1,0.655,MEDIUM
STK801360,1270,Probe-like,608.72329,6.992,MMV007474,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111620>,1,0.5720000000000001,MEDIUM
STK527858,ND,Probe-like,501.36342,6.168,MMV006962,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111690>,1,0.65,MEDIUM
OSSK_089987,nan,Probe-like,336.3844,3.596,MMV665813,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111700>,1,0.775,MEDIUM
OSSK_578033,1000,Probe-like,254.26234,2.82,MMV080034,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111770>,1,0.615,MEDIUM
OSSL_102403,4000,Probe-like,266.29786,2.598,MMV019199,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1117E0>,1,0.685,MEDIUM
OSSK_407274,1180,Probe-like,487.67936,6.194,MMV396652,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111850>,1,0.805,HIGH
8011-6716,1100,Probe-like,420.50411,3.873,MMV000704,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1118C0>,1,0.79,MEDIUM
STK449674,959,Probe-like,519.96964,5.164,MMV396635,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111930>,1,0.88,HIGH
STL161345,1430,Probe-like,335.40294,3.238,MMV000986,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA1119A0>,1,0.815,HIGH
STK371711,552,Probe-like,387.47574,5.807,MMV008160,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111A10>,1,0.755,MEDIUM
STK674896,326,Probe-like,636.69672,9.987,MMV000753,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111A80>,1,0.625,MEDIUM
STK007351,946.5,Probe-like,579.10288,8.326,MMV011436,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111AF0>,1,0.67,MEDIUM
OSSK_109585,466,Probe-like,574.237,5.636,MMV665882,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111B60>,1,0.7616666666666666,MEDIUM
OSSK_579680,ND,Probe-like,395.72119,4.615,MMV665809,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111BD0>,1,0.8358333333333333,HIGH
OSSL_134459,1010,Probe-like,348.4017,1.097,MMV665810,<rdkit.Chem.rdchem.Mol object at 0x0000023FFA111C40>,1,0.72,MEDIUM
